ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2023-24,School ID (7-digit) – NCES Assigned [Public School] 2022-23,School ID (7-digit) – NCES Assigned [Public School] 2021-22,School ID (7-digit) – NCES Assigned [Public School] 2020-21,School ID (7-digit) – NCES Assigned [Public School] 2019-20,School ID (7-digit) – NCES Assigned [Public School] 2018-19,School ID (7-digit) – NCES Assigned [Public School] 2017-18,School ID (7-digit) – NCES Assigned [Public School] 2016-17,School ID (7-digit) – NCES Assigned [Public School] 2015-16,School ID (7-digit) – NCES Assigned [Public School] 2014-15,School Name [Public School] 2024-25,Agency Name [Public School] 2024-25,County Name [Public School] 2024-25,Start of Year Status [Public School] 2024-25,Start of Year Status [Public School] 2023-24,Start of Year Status [Public School] 2022-23,Start of Year Status [Public School] 2021-22,Start of Year Status [Public School] 2020-21,Start of Year Status [Public School] 2019-20,Start of Year Status [Public School] 2018-19,Start of Year Status [Public School] 2017-18,Start of Year Status [Public School] 2016-17,Start of Year Status [Public School] 2015-16,Start of Year Status [Public School] 2014-15,Updated Status [Public School] 2024-25,Updated Status [Public School] 2023-24,Updated Status [Public School] 2022-23,Updated Status [Public School] 2021-22,Updated Status [Public School] 2020-21,Updated Status [Public School] 2019-20,Updated Status [Public School] 2018-19,Updated Status [Public School] 2017-18,Updated Status [Public School] 2016-17,Updated Status [Public School] 2015-16,Updated Status [Public School] 2014-15,Effective Date of Updated Status [Public School] 2024-25,Effective Date of Updated Status [Public School] 2023-24,Effective Date of Updated Status [Public School] 2022-23,Effective Date of Updated Status [Public School] 2021-22,Effective Date of Updated Status [Public School] 2020-21,Effective Date of Updated Status [Public School] 2019-20,Effective Date of Updated Status [Public School] 2018-19,Effective Date of Updated Status [Public School] 2017-18,Effective Date of Updated Status [Public School] 2016-17,Effective Date of Updated Status [Public School] 2015-16,Effective Date of Updated Status [Public School] 2014-15,Latitude [Public School] 2024-25,Latitude [Public School] 2023-24,Latitude [Public School] 2022-23,Latitude [Public School] 2021-22,Latitude [Public School] 2020-21,Latitude [Public School] 2019-20,Latitude [Public School] 2018-19,Latitude [Public School] 2017-18,Latitude [Public School] 2016-17,Latitude [Public School] 2015-16,Latitude [Public School] 2014-15,Longitude [Public School] 2024-25,Longitude [Public School] 2023-24,Longitude [Public School] 2022-23,Longitude [Public School] 2021-22,Longitude [Public School] 2020-21,Longitude [Public School] 2019-20,Longitude [Public School] 2018-19,Longitude [Public School] 2017-18,Longitude [Public School] 2016-17,Longitude [Public School] 2015-16,Longitude [Public School] 2014-15
6-12 SUMMERS COUNTY COMPREHENSIVE HS,WEST VIRGINIA,5401603,5401603,5401603,5401603,†,†,†,†,†,†,†,6-12 Summers County Comprehensive HS,Summers County Schools,Summers County,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,†,†,†,†,†,†,†,37.707193,37.707193,37.707193,37.707193,†,†,†,†,†,†,†,-80.888135,-80.888135,-80.888135,-80.888135,†,†,†,†,†,†,†
A. T. ALLISON ELEMENTARY SCHOOL,West Virginia,5401186,5401186,5401186,5401186,5401186,5401186,5401186,5401186,5401186,5401186,5401186,A. T. Allison Elementary School,Hancock County Schools,Hancock County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:26 ,40.615697,40.615697,40.615697,40.615697,40.615697,40.615697,40.615697,40.615697,40.615697,40.616101,40.616101,-80.561599,-80.561599,-80.561599,-80.561599,-80.561599,-80.561599,-80.561599,-80.561599,-80.561599,-80.561950,-80.561950
ACADEMY OF CAREERS AND TECHNOLOGY,West Virginia,5400977,5400977,5400977,5400977,5400977,5400977,5400977,5400977,5400977,5400977,5400977,Academy of Careers and Technology,Raleigh County Schools,Raleigh County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:17 ,37.795340,37.795340,37.795340,37.795340,37.795340,37.795340,37.795340,37.795340,37.797650,37.798650,37.798650,-81.165522,-81.165522,-81.165522,-81.165522,-81.165522,-81.165522,-81.165522,-81.165522,-81.164841,-81.164484,-81.164484
ACADEMY PROGRAMS,West Virginia,†,†,†,5401471,5401471,5401471,5401471,5401471,5401471,5401471,5401471,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:57 ,†,†,†,39.448247,39.448247,39.448247,39.448247,39.448247,39.448533,39.448220,39.448220,†,†,†,-80.164299,-80.164299,-80.164299,-80.164299,-80.164299,-80.163966,-80.164318,-80.164318
ADAMSTON ELEMENTARY SCHOOL,West Virginia,†,†,†,5400282,5400282,5400282,5400282,5400282,5400282,5400282,5400282,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:32 ,†,†,†,39.291398,39.291398,39.291398,39.291398,39.291398,39.291398,39.291140,39.291140,†,†,†,-80.359136,-80.359136,-80.359136,-80.359136,-80.359136,-80.359136,-80.359250,-80.359250
ALBAN ELEMENTARY SCHOOL,West Virginia,5400353,5400353,5400353,5400353,5400353,5400353,5400353,5400353,5400353,5400353,5400353,Alban Elementary School,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:14 ,38.385650,38.385650,38.385650,38.385650,38.385650,38.385650,38.385650,38.385650,38.385614,38.385562,38.385562,-81.812971,-81.812971,-81.812971,-81.812971,-81.812971,-81.812971,-81.812971,-81.812971,-81.812958,-81.812721,-81.812721
ALDERSON ELEMENTARY,West Virginia,5400224,5400224,5400224,5400224,5400224,5400224,5400224,5400224,5400224,5400224,5400224,Alderson Elementary,Greenbrier County Schools,Greenbrier County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:14 ,37.727001,37.727001,37.727001,37.727001,37.727001,37.727001,37.727001,37.727001,37.727040,37.727255,37.727001,-80.636071,-80.636071,-80.636071,-80.636071,-80.636071,-80.636071,-80.636071,-80.636071,-80.636464,-80.638665,-80.636071
ALTIZER ELEMENTARY SCHOOL,West Virginia,5400088,5400088,5400088,5400088,5400088,5400088,5400088,5400088,5400088,5400088,5400088,Altizer Elementary School,Cabell County Schools,Cabell County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:12:34 ,38.415450,38.415450,38.415450,38.415450,38.415450,38.415450,38.415450,38.415450,38.415450,38.414646,38.414646,-82.364383,-82.364383,-82.364383,-82.364383,-82.364383,-82.364383,-82.364383,-82.364383,-82.364383,-82.364003,-82.364003
ALUM BRIDGE ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,5400469,5400469,†,†,†,†,†,†,†,†,†,†,†,†,2-Closed,1-Open,†,†,†,†,†,†,†,†,†,2-Closed,1-Open,†,†,†,†,†,†,†,†,†,08/08/16           ,19FEB2015:10:14:51 ,†,†,†,†,†,†,†,†,†,39.028937,39.028937,†,†,†,†,†,†,†,†,†,-80.681270,-80.681270
ALUM CREEK ELEMENTARY SCHOOL,West Virginia,5400354,5400354,5400354,5400354,5400354,5400354,5400354,5400354,5400354,5400354,5400354,Alum Creek Elementary School,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:14 ,38.270971,38.270971,38.270971,38.270971,38.270971,38.270971,38.270971,38.270971,38.270707,38.270800,38.270707,-81.777085,-81.777085,-81.777085,-81.777085,-81.777085,-81.777085,-81.777085,-81.777085,-81.777099,-81.777061,-81.777099
