ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School Name [Public School] 2024-25,County Name [Public School] 2024-25,Locale [Public School] 2024-25,Locale [Public School] 2023-24,Locale [Public School] 2022-23,Locale [Public School] 2021-22,Locale [Public School] 2020-21,Locale [Public School] 2019-20,Locale [Public School] 2018-19,Locale [Public School] 2017-18,Locale [Public School] 2016-17,Locale [Public School] 2015-16,Locale [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2024-25,Reduced-price Lunch Eligible Students [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2022-23,Reduced-price Lunch Eligible Students [Public School] 2021-22,Reduced-price Lunch Eligible Students [Public School] 2020-21,Reduced-price Lunch Eligible Students [Public School] 2019-20,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2024-25,Free and Reduced Lunch Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2022-23,Free and Reduced Lunch Students [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2020-21,Free and Reduced Lunch Students [Public School] 2019-20,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15
6-12 SUMMERS COUNTY COMPREHENSIVE HS,WEST VIRGINIA,5401603,6-12 Summers County Comprehensive HS,Summers County,42-Rural: Distant,42-Rural: Distant,41-Rural: Fringe,41-Rural: Fringe,†,†,†,†,†,†,†,627,669,745,741,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†
A. T. ALLISON ELEMENTARY SCHOOL,West Virginia,5401186,A. T. Allison Elementary School,Hancock County,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,261,257,286,335,348,406,439,424,431,454,443,–,–,–,–,–,–,–,–,240,225,212,–,–,–,–,–,–,–,–,29,31,26,–,–,–,–,156,212,212,245,269,256,238
ACADEMY OF CAREERS AND TECHNOLOGY,West Virginia,5400977,Academy of Careers and Technology,Raleigh County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,†,†,†,–,–,0,–,–,0,0,0,†,†,†,–,–,–,–,–,–,†,0,†,†,†,–,–,–,–,–,–,†,0,†,†,†,–,–,8,8,12,–,†,0
ACADEMY PROGRAMS,West Virginia,†,†,†,†,†,†,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,†,70,65,0,†,–,69,70,44,†,†,†,–,–,–,–,–,58,67,41,†,†,†,–,–,–,–,–,1,0,0,†,†,†,–,27,32,32,–,59,67,41
ADAMSTON ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,†,213,222,263,277,279,275,291,295,†,†,†,–,–,–,–,–,–,–,–,†,†,†,–,–,–,–,–,–,–,–,†,†,†,–,160,180,180,193,165,186,148
ALBAN ELEMENTARY SCHOOL,West Virginia,5400353,Alban Elementary School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,376,261,253,251,284,305,311,328,352,355,370,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,163,170,170,175,168,192,171
ALDERSON ELEMENTARY,West Virginia,5400224,Alderson Elementary,Greenbrier County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,186,199,208,189,204,233,235,240,208,208,212,–,–,–,–,–,–,–,–,–,–,126,–,–,–,–,–,–,–,–,–,–,19,–,–,–,–,139,147,147,166,115,115,145
ALTIZER ELEMENTARY SCHOOL,West Virginia,5400088,Altizer Elementary School,Cabell County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,207,210,202,226,220,249,263,277,285,314,302,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,117,185,185,204,164,207,184
ALUM BRIDGE ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,42-Rural: Distant,42-Rural: Distant,†,†,†,†,†,†,†,†,†,†,98,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,54
ALUM CREEK ELEMENTARY SCHOOL,West Virginia,5400354,Alum Creek Elementary School,Kanawha County,41-Rural: Fringe,41-Rural: Fringe,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,151,149,159,172,166,166,179,188,187,201,195,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,93,120,120,104,100,108,98
