"country","calendar_year","nobel_prize_winners","country_size"
"U.S.A. - United States","2009-01-01",10,"large"
"U.S.A. - United States","2004-01-01",10,"large"
"U.S.A. - United States","2013-01-01",9,"large"
"U.S.A. - United States","2011-01-01",9,"large"
"U.S.A. - United States","2002-01-01",8,"large"
"U.S.A. - United States","2012-01-01",8,"large"
"U.S.A. - United States","2001-01-01",8,"large"
"U.S.A. - United States","2000-01-01",8,"large"
"U.S.A. - United States","2003-01-01",7,"large"
"U.S.A. - United States","2005-01-01",6,"large"
"U.S.A. - United States","2008-01-01",6,"large"
"U.S.A. - United States","2006-01-01",6,"large"
"U.S.A. - United States","2007-01-01",5,"large"
"U.S.A. - United States","2015-01-01",5,"large"
"U.S.A. - United States","2010-01-01",4,"large"
"U.S.A. - United States","2016-01-01",4,"large"
"U.S.A. - United States","2014-01-01",3,"large"
"swe - sweden","2000-01-01",1,"small"
"SUI - Switzerland","2002-01-01",1,"small"
"RUS - Russia","2000-01-01",1,"large"
"RUS - Russia","2003-01-01",1,"large"
"JPN - Japan","2008-01-01",3,"large"
"JPN - Japan","2014-01-01",3,"large"
"JPN - Japan","2015-01-01",2,"large"
"JPN - Japan","2002-01-01",2,"large"
"JPN - Japan","2016-01-01",1,"large"
"JPN - Japan","2001-01-01",1,"large"
"JPN - Japan","2000-01-01",1,"large"
"JPN - Japan","2012-01-01",1,"large"
"JPN - Japan","2010-01-01",1,"large"
"ISR - Israel","2004-01-01",2,"small"
"ISR - Israel","2011-01-01",1,"small"
"ISR - Israel","2005-01-01",1,"small"
"ISR - Israel","2009-01-01",1,"small"
"ger - Germany","2005-01-01",2,"medium"
"ger - Germany","2014-01-01",2,"medium"
"ger - Germany","2007-01-01",2,"medium"
"ger - Germany","2008-01-01",1,"medium"
"G.BR - Great Britain","2010-01-01",4,"medium"
"G.BR - Great Britain","2001-01-01",2,"medium"
"G.BR - Great Britain","2015-01-01",2,"medium"
"G.BR - Great Britain","2009-01-01",2,"medium"
"G.BR - Great Britain","2012-01-01",1,"medium"
"G.BR - Great Britain","2007-01-01",1,"medium"
"G.BR - Great Britain","2003-01-01",1,"medium"
"G.BR - Great Britain","2014-01-01",1,"medium"
"G.BR - Great Britain","2002-01-01",1,"medium"
"G.BR - Great Britain","2013-01-01",1,"medium"
"fra - france","2007-01-01",2,"medium"
"fra - france","2008-01-01",2,"medium"
"fra - france","2012-01-01",2,"medium"
"fra - france","2011-01-01",1,"medium"
"fra - france","2014-01-01",1,"medium"
"fra - france","2013-01-01",1,"medium"
"fra - france","2016-01-01",1,"medium"
"fra - france","2005-01-01",1,"medium"
"CHN - China","2009-01-01",1,"large"
"CHN - China","2015-01-01",1,"large"
"  NOR - Norway","2014-01-01",2,"small"
"  NED - Netherlands","2016-01-01",1,"small"
"  BEL - Belgium","2013-01-01",1,"small"
"  AUS - Australia","2005-01-01",2,"small"
"  AUS - Australia","2011-01-01",1,"small"
"   DEN - Denmark","2010-01-01",1,"small"
"    CAN - Canada","2015-01-01",1,"small"
