Discipline,HPSA ID,HPSA Name,Designation Type,State,County Name,HPSA Score,Status,Rural Status,Record Type,Site Address,Site City,Site ZIP
Mental Health,7546547618,"William R. Sharpe, Jr. Hospital",State Mental Hospital,West Virginia,Lewis,12,Designated,Rural,Site,936 Sharpe Hospital Rd,Weston,26452-8550
Primary Care,1544634913,LI - Mineral County,Low Income Population HPSA,West Virginia,Mineral,16,Proposed For Withdrawal,Rural,Geographic,,,
Primary Care,1544498753,LI-Monongalia County,Low Income Population HPSA,West Virginia,Monongalia,18,Proposed For Withdrawal,Non-Rural,Geographic,,,
Mental Health,7547592737,Preston County,Geographic HPSA,West Virginia,Preston,15,Proposed For Withdrawal,Rural,Geographic,,,
Dental Health,6544351561,Doddridge County,High Needs Geographic HPSA,West Virginia,Doddridge,15,Proposed For Withdrawal,Rural,Geographic,,,
Mental Health,7543178272,LI-Greenbrier County,Low Income Population HPSA,West Virginia,Greenbrier,18,Proposed For Withdrawal,Rural,Geographic,,,
Dental Health,6549130047,LI - Wirt County,Low Income Population HPSA,West Virginia,Wirt,16,Proposed For Withdrawal,Rural,Geographic,,,
Dental Health,6542153061,Jefferson,Geographic HPSA,West Virginia,Jefferson,12,Proposed For Withdrawal,Partially Rural,Geographic,,,
Mental Health,7549433594,Summers County,High Needs Geographic HPSA,West Virginia,Summers,18,Proposed For Withdrawal,Rural,Geographic,,,
Mental Health,7547355080,LI-Hancock County,Low Income Population HPSA,West Virginia,Hancock,15,Proposed For Withdrawal,Partially Rural,Geographic,,,
Mental Health,7548330019,Putnam,Geographic HPSA,West Virginia,Putnam,14,Proposed For Withdrawal,Non-Rural,Geographic,,,
Mental Health,7546536733,OFAC-Jefferson County Health Department,Other Facility,West Virginia,Jefferson,16,Designated,Non-Rural,Site,1948 Wiltshire Rd,Kearneysville,25430-2783
Primary Care,1549469159,Jackson County,Geographic HPSA,West Virginia,Jackson,10,Designated,Rural,Geographic,,,
Primary Care,1548676899,LI - Barbour County,Low Income Population HPSA,West Virginia,Barbour,19,Designated,Rural,Geographic,,,
Dental Health,6541200093,LI-Boone County,Low Income Population HPSA,West Virginia,Boone,17,Designated,Rural,Geographic,,,
Mental Health,7548053914,LI - Lincoln County,Low Income Population HPSA,West Virginia,Lincoln,18,Designated,Rural,Geographic,,,
Dental Health,6543931872,LI - Pendleton County,Low Income Population HPSA,West Virginia,Pendleton,14,Designated,Rural,Geographic,,,
Dental Health,6544513469,LI - Marion County,Low Income Population HPSA,West Virginia,Marion,15,Designated,Rural,Geographic,,,
Primary Care,1542087012,LI - Ohio County,Low Income Population HPSA,West Virginia,Ohio,11,Designated,Partially Rural,Geographic,,,
Primary Care,1547813927,Hampshire County,Geographic HPSA,West Virginia,Hampshire,13,Proposed For Withdrawal,Rural,Geographic,,,
Dental Health,6544605254,LI - Mingo County,Low Income Population HPSA,West Virginia,Mingo,19,Designated,Rural,Geographic,,,
Primary Care,1544491949,LI-Monongalia County,Low Income Population HPSA,West Virginia,Monongalia,18,Designated,Non-Rural,Geographic,,,
Mental Health,7545219025,LI - Fayette County,Low Income Population HPSA,West Virginia,Fayette,18,Designated,Partially Rural,Geographic,,,
Mental Health,7543491037,LI - Randolph County,Low Income Population HPSA,West Virginia,Randolph,17,Designated,Rural,Geographic,,,
Mental Health,7543440163,LI - Wetzel County,Low Income Population HPSA,West Virginia,Wetzel,13,Designated,Rural,Geographic,,,
Mental Health,7544283368,LI-Jackson County,Low Income Population HPSA,West Virginia,Jackson,16,Designated,Rural,Geographic,,,
Primary Care,1543956340,LI-Monroe County,Low Income Population HPSA,West Virginia,Monroe,14,Designated,Rural,Geographic,,,
Primary Care,1543497040,LI - Upshur County,Low Income Population HPSA,West Virginia,Upshur,15,Designated,Rural,Geographic,,,
Primary Care,15499954AY,LI- Preston County,Low Income Population HPSA,West Virginia,Preston,11,Designated,Rural,Geographic,,,
Primary Care,1546467962,LI-Ritchie County,Low Income Population HPSA,West Virginia,Ritchie,18,Designated,Rural,Geographic,,,
Primary Care,1542862083,LI-Hancock County,Low Income Population HPSA,West Virginia,Hancock,16,Designated,Partially Rural,Geographic,,,
Primary Care,1548709620,LI - Brooke County,Low Income Population HPSA,West Virginia,Brooke,16,Designated,Non-Rural,Geographic,,,
Primary Care,1549223277,LI-Fayette County,Low Income Population HPSA,West Virginia,Fayette,20,Designated,Partially Rural,Geographic,,,
Primary Care,1543372364,LI - Doddridge County,Low Income Population HPSA,West Virginia,Doddridge,14,Designated,Rural,Geographic,,,
Primary Care,1541192277,Hampshire County,Geographic HPSA,West Virginia,Hampshire,15,Designated,Rural,Geographic,,,
Dental Health,6545922426,LI-Monongalia County,Low Income Population HPSA,West Virginia,Monongalia,19,Designated,Non-Rural,Geographic,,,
Dental Health,6544529023,LI - Ohio County,Low Income Population HPSA,West Virginia,Ohio,17,Designated,Partially Rural,Geographic,,,
Dental Health,6547474720,LI-Pleasants County,Low Income Population HPSA,West Virginia,Pleasants,11,Designated,Rural,Geographic,,,
Dental Health,6541973642,LI-Fayette County,Low Income Population HPSA,West Virginia,Fayette,17,Designated,Partially Rural,Geographic,,,
