"Facility ID","Facility Name",Address,City/Town,State,"ZIP Code",County/Parish,"Telephone Number","Hospital Type","Hospital Ownership","Emergency Services","Meets criteria for birthing friendly designation","Hospital overall rating"
510001,"WEST VIRGINIA UNIVERSITY HOSPITALS, INC","MEDICAL CENTER DRIVE",MORGANTOWN,WV,26506,MONONGALIA,"(304) 598-4000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,2
510002,"CAMC GREENBRIER VALLEY MEDICAL CENTER, INC","1320 MAPLEWOOD AVENUE",RONCEVERTE,WV,24970,GREENBRIER,"(304) 647-4411","Acute Care Hospitals",Proprietary,Yes,Y,2
510006,"UNITED HOSPITAL CENTER, INC","327 MEDICAL PARK DRIVE",BRIDGEPORT,WV,26330,HARRISON,"(681) 342-1000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4
510007,"ST MARYS MEDICAL CENTER","2900 1ST AVENUE",HUNTINGTON,WV,25702,CABELL,"(304) 526-1234","Acute Care Hospitals","Voluntary non-profit - Church",Yes,,2
510008,"BERKELEY MEDICAL CENTER","2500 HOSPITAL DRIVE",MARTINSBURG,WV,25401,BERKELEY,"(304) 264-1000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,1
510012,"RIVERS HEALTH","2520 VALLEY DRIVE","POINT PLEASANT",WV,25550,MASON,"(304) 675-4340","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,1
510013,"REYNOLDS MEMORIAL HOSPITAL","800 WHEELING AVE","GLEN DALE",WV,26038,MARSHALL,"(304) 843-3230","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3
510022,"CHARLESTON AREA MEDICAL CENTER","501 MORRIS STREET",CHARLESTON,WV,25301,KANAWHA,"(304) 388-5432","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,1
510023,"WEIRTON MEDICAL CENTER, INC","601 COLLIERS WAY",WEIRTON,WV,26062,HANCOCK,"(304) 797-6000","Acute Care Hospitals","Government - Local",Yes,,2
510024,"MON HEALTH MEDICAL CENTER","1200 JD ANDERSON DRIVE",MORGANTOWN,WV,26505,MONONGALIA,"(304) 598-1200","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4
510029,"THOMAS MEMORIAL HOSPITAL","4605 MACCORKLE AVENUE SW","SOUTH CHARLESTON",WV,25309,KANAWHA,"(304) 766-3600","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,"Not Available"
51002F,"BECKLEY VA MEDICAL CENTER","200 VETERANS AVENUE",BECKLEY,WV,25801,RALEIGH,"(304) 255-2121","Acute Care - Veterans Administration","Veterans Health Administration",Yes,,5
510030,"DAVIS MEDICAL CENTER","812 GORMAN AVENUE",ELKINS,WV,26241,RANDOLPH,"(304) 636-3300","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3
510038,"STONEWALL JACKSON MEMORIAL HOSPITAL","230 HOSPITAL PLAZA",WESTON,WV,26452,LEWIS,"(304) 269-8000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,2
51003F,"CLARKSBURG VA MEDICAL CENTER","1 MEDICAL CENTER DRIVE",CLARKSBURG,WV,26301,HARRISON,"(304) 623-3461","Acute Care - Veterans Administration","Veterans Health Administration",Yes,,4
510046,"PRINCETON COMMUNITY HOSPITAL ASSN INC","122 12TH STREET",PRINCETON,WV,24740,MERCER,"(304) 487-7000","Acute Care Hospitals","Government - Local",Yes,Y,1
510048,"LOGAN REGIONAL MEDICAL CENTER","20 HOSPITAL DRIVE",LOGAN,WV,25601,LOGAN,"(304) 831-1101","Acute Care Hospitals",Proprietary,Yes,Y,4
51004F,"HUNTINGTON VA MEDICAL CENTER","1540 SPRING VALLEY ROAD",HUNTINGTON,WV,25704,WAYNE,"(304) 429-0241","Acute Care - Veterans Administration","Veterans Health Administration",Yes,,5
510050,"WHEELING HOSPITAL, INC","1 MEDICAL PARK",WHEELING,WV,26003,OHIO,"(304) 243-3000","Acute Care Hospitals","Voluntary non-profit - Church",Yes,Y,1
510055,"CABELL HUNTINGTON HOSPITAL, INC","1340 HAL GREER BOULEVARD",HUNTINGTON,WV,25701,CABELL,"(304) 526-2000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,2
510058,"CAMDEN CLARK MEDICAL CENTER","800 GARFIELD AVE",PARKERSBURG,WV,26101,WOOD,"(304) 424-2111","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3
51005F,"MARTINSBURG VA MEDICAL CENTER","510 BUTLER AVE.",MARTINSBURG,WV,25405,BERKELEY,"(304) 263-0811","Acute Care - Veterans Administration","Veterans Health Administration",Yes,,4
510062,"BECKLEY ARH HOSPITAL","306 STANAFORD ROAD",BECKLEY,WV,25801,RALEIGH,"(304) 255-3000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,1
510070,"RALEIGH GENERAL HOSPITAL","1710 HARPER ROAD",BECKLEY,WV,25801,RALEIGH,"(304) 256-4100","Acute Care Hospitals",Proprietary,Yes,Y,1
