Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y
25330,11/1/2017,Trash - Curbside/Alley Missed Pickup,Missed.,4484 Lavergne Couchville Pike,37013,RED RIVER,4210,33,1794533.514,618749.3427
25692,11/2/2017,Trash - Backdoor,Backdoor/miss for last Friday. Does not understand why?,3041 Fieldstone Dr,37013,RED RIVER,3504,29,1785677.159,633139.2463
25743,11/2/2017,Trash Collection Complaint,"Resident is very upset- Red River emptied only one of the 2 brown carts he had out, truck driver clamps both together all the time, he needs to do one at the time.",732 Ridgeview Ct,37013,RED RIVER,4403,31,1759010.565,619983.2015
25775,11/2/2017,Trash - Backdoor,"Missed trash pickup said has been picking up behind the gate for 26 years 
(615) 333-0065",4625 long br,37013,RED RIVER,4505,28,1770350.416,634143.8718
25789,11/2/2017,Trash - Curbside/Alley Missed Pickup,missed pickup,116 Bart Dr,37013,RED RIVER,3404,30,1763440.964,628447.2023
25793,11/2/2017,Trash - Curbside/Alley Missed Pickup,Missed.,4104 Coleridge Dr,37013,RED RIVER,3404,30,1763188.163,628038.4027
25802,11/2/2017,Trash - Backdoor,Missed.,4828 Cimarron Way,37013,RED RIVER,3404,30,1766186.564,629785.6029
25941,11/3/2017,Trash Collection Complaint,Missed again. Has had multiple issues with the route. Needs her trash picked up,1300 Rural Hill Rd,37013,RED RIVER,4504,32,1777932.164,628763.2021
25949,11/3/2017,Trash - Curbside/Alley Missed Pickup,Curb Trash/Miss Thursday.  {Dead End},5040 Mclendon Dr,37013,RED RIVER,3404,30,1764866.475,627175.4562
25988,11/3/2017,Trash - Curbside/Alley Missed Pickup,"customer had 2 trash carts, but only one of them was emptied",3913 Tea Garden Way,37013,RED RIVER,3504,33,1787799.27,631948.8964
26026,11/3/2017,Trash - Curbside/Alley Missed Pickup,missed pickup for the street,4316 Summercrest Blvd 404,37013,RED RIVER,4510,32,1785751.362,625659.6263
26031,11/3/2017,Trash - Curbside/Alley Missed Pickup,Missed.,2731 Murfreesboro Pike,37013,RED RIVER,4502,32,1781139.363,632445.6024
26039,11/3/2017,Trash - Curbside/Alley Missed Pickup,Missed,816 Dresden Ct,37013,RED RIVER,3502,33,1790883.757,635609.4987
26100,11/5/2017,Trash - Curbside/Alley Missed Pickup,customer says trash was missed for the entire street,3901 Calumet Dr,37013,RED RIVER,3504,33,1786499.483,632203.432
26114,11/6/2017,Trash Collection Complaint,this side missed Friday {wants to know why? she's being missed},4776 Apollo Dr,37013,RED RIVER,4501,28,1771324.165,633462.4013
26141,11/6/2017,Trash Collection Complaint,trash missed almost every week - adv client to bag all loose items,5550 Mt View Rd,37013,RED RIVER,4504,32,1780680.164,622557.6019
26151,11/6/2017,Trash Collection Complaint,"BACKDOOR/TRASH KEEPS GETTING MISSED. FRIDAY
open gate trash/cart is there always.",4625 Long Br,37013,RED RIVER,4505,28,1770350.416,634143.8718
26157,11/6/2017,Trash - Curbside/Alley Missed Pickup,others missed in area,3908 calumet dr,37013,RED RIVER,3504,33,1786531.387,631997.7361
26161,11/6/2017,Trash - Curbside/Alley Missed Pickup,missed pick up - entire street missed,4020 calumet dr,37013,RED RIVER,3504,33,1786210.646,631445.615
26213,11/6/2017,Trash - Curbside/Alley Missed Pickup,Missed.,2733 Murfreesboro Pike C,37013,RED RIVER,4502,32,1781139.363,632445.6024
26216,11/6/2017,Trash - Backdoor,missed backdoor pick up,4713 Delia Dr,37013,RED RIVER,4505,28,1767696.747,631909.527
26239,11/6/2017,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,405 calumet ct,37013,RED RIVER,3504,33,1786097.918,630974.7556
26257,11/6/2017,Trash - Curbside/Alley Missed Pickup,Missed entire cul de sac,205 Shoemaker Ct,37013,RED RIVER,3504,33,1786467.633,631954.8802
26283,11/6/2017,Trash - Curbside/Alley Missed Pickup,missed,3124 Murfreesboro Pike,37013,RED RIVER,4502,33,1784737.314,629098.4513
26284,11/6/2017,Trash - Curbside/Alley Missed Pickup,missed,3124 Murfreesboro Pike,37013,RED RIVER,4502,33,1784737.314,629098.4513
26318,11/6/2017,Trash Collection Complaint,Curb/trash miss last Friday. ? wants cart emptied before this Friday.,1416 Forrestal Way,37013,RED RIVER,3503,33,1791347.954,632655.3211
26349,11/6/2017,Trash - Curbside/Alley Missed Pickup,others also missed in area,3404 roundwood forest dr,37013,RED RIVER,3504,33,1786291.324,632229.332
26391,11/6/2017,Trash - Curbside/Alley Missed Pickup,The whole court miss trash/Friday. Also Roundwood Forest Dr 37013. Curb,212 Shoemaker Ct,37013,RED RIVER,3504,33,1786347.831,631973.158
26511,11/7/2017,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,3925 calumet dr,37013,RED RIVER,3504,33,1786639.649,631849.6379
26547,11/7/2017,Trash - Curbside/Alley Missed Pickup,customer says the entire street was missed,4016 CALUMET DR,37013,RED RIVER,3504,33,1786217.878,631496.7719
26551,11/7/2017,Trash - Curbside/Alley Missed Pickup,Missed.,224 Shoemaker Ct,37013,RED RIVER,3504,33,1786256.201,631876.5471
26746,11/7/2017,Trash - Curbside/Alley Missed Pickup,Missed.,824 Harvest Grove Dr,37013,,,33,1789788.386,626552.7647
27142,11/9/2017,Trash Collection Complaint,Missed entire side of the street- says there are only 3 houses on that side of the street and he misses them frequently.,608 cedarhill ct,37013,RED RIVER,4403,31,1758801.653,622091.0977
27298,11/9/2017,Trash - Backdoor,Backdoor,705 Yoest Cir,37013,RED RIVER,4404,31,1764643.956,625321.0093
